winner_name,constituency,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
WILLIAM KAMOTI MWAMKALE,RABAI,KILIFI,ODM,92,93,58.87,18156,0,30839,366,50332
ROBERT GICHIMU GITHINJI,GICHUGU,KIRINYAGA,JP,168,168,92.28,68521,0,74255,485,85352
JOHN MUNENE WAMBUGU,KIRINYAGA CENTRAL,KIRINYAGA,JP,139,140,42.73,27845,4,65169,1304,76021
JOSPHAT KABINGA WACHIRA,MWEA,KIRINYAGA,JP,216,222,68.09,67990,1,99848,3397,122380
GEORGE MACHARIA  KARIUKI GK,NDIA,KIRINYAGA,JP,127,129,54.18,30429,0,56165,1638,66083
INNOCENT MOMANYI OBIRI,BOBASI,KISII,PDP,182,184,37.88,25408,1,67082,1391,89310
ZADOC ABEL OGUTU,BOMACHOGE BORABU,KISII,IND,105,105,39.37,14112,1,35845,317,49081
MIRUKA ONDIEKI ALFAH,BOMACHOGE CHACHE,KISII,KNC,87,89,61.76,19162,0,31028,820,41745
JOHN OROO OYIOKA,BONCHARI,KISII,PDP,100,102,31.22,11963,0,38314,415,52624
JIMMY  NURU ONDIEKI ANGWENYI,KITUTU CHACHE NORTH,KISII,JP,97,106,45.69,14999,0,32831,1312,50665
RICHARD NYAGAKA TONGI,NYARIBARI CHACHE,KISII,JP,143,149,24.93,13730,0,55072,1150,77729
EZEKIEL MACHOGU OMBAKI,NYARIBARI MASABA,KISII,NAPK,132,132,35.91,15902,81,44278,499,59064
SILVANUS OSORO ONYIEGO,SOUTH MUGIRANGO,KISII,KNC,141,144,22.07,11144,0,50501,1834,67345
FRED ODHIAMBO OUDA,KISUMU CENTRAL,KISUMU,ODM,193,196,88.53,80682,0,91138,846,120023
SHAKEEL AHMED SHABBIR AHMED,KISUMU EAST,KISUMU,IND,132,141,52.58,32237,6,61315,409,81538
JOHN OLAGO ALUOCH,KISUMU WEST,KISUMU,FORD-KENYA,142,142,57.02,33731,3,59161,435,74439
PATRICK AYIECHO OLWENY,MUHORONI,KISUMU,ODM,37,142,86.79,13614,0,15686,952,69091
JOSHUA ADUMA OWUOR,NYAKACH,KISUMU,ODM,135,147,95.91,50643,1,52800,302,68884
JARED ODOYO OKELO,NYANDO,KISUMU,ODM,141,148,99.28,57404,7,57821,282,71680
JAMES WAMBURA NYIKAL,SEME,KISUMU,ODM,110,111,74.28,32540,477,43806,778,53555
BENSON MAKALI MULU,KITUI CENTRAL,KITUI,WDM-K,170,183,43.76,21021,2,48034,766,70736
NIMROD MBITHUKA MBAI,KITUI EAST,KITUI,JP,162,174,31.72,13215,4,41664,2401,57290
DAVID MWALIKA MBONI,KITUI RURAL,KITUI,CCU,141,147,38.41,13674,6,35601,793,49614
RACHAEL KAKI NYAMAI,KITUI SOUTH,KITUI,JP,234,234,43.52,22753,1,52281,747,68185
FRANCIS MWANZIA NYENZE,KITUI WEST,KITUI,WDM-K,133,143,54.8,20186,0,36838,253,52042
GIDEON MUTEMI MULYUNGI,MWINGI CENTRAL,KITUI,WDM-K,185,194,63.54,28144,1,44296,1009,63305
PAUL MUSYIMI NZENGU,MWINGI NORTH,KITUI,WDM-K,210,223,50.16,22394,0,44647,829,61491
CHARLES NGUSYA NGUNA,MWINGI WEST,KITUI,WDM-K,148,156,36.6,14389,0,39310,814,51849
BENJAMIN DALU STEPHEN TAYARI,KINANGO,KWALE,ODM,199,212,63.18,34077,0,53934,1766,85106
KHATIB ABDALLAH MWASHETANI,LUNGALUNGA,KWALE,JP,115,118,34.9,12088,1,34633,560,56948
KASSIM SAWA TANDAZA,MATUGA,KWALE,ANC,26,153,49.25,3367,0,6837,64,70366
SULEIMAN DORI RAMADHANI,MSAMBWENI,KWALE,ODM,126,129,50.09,21839,1,43597,1056,68621
AMIN DEDDY MOHAMED ALI,LAIKIPIA EAST,LAIKIPIA,JP,176,177,77.4,56326,0,72770,528,88886
SARAH PAULATA KORERE,LAIKIPIA NORTH,LAIKIPIA,JP,128,128,32.12,10767,1,33526,916,46671
PATRICK KARIUKI MARIRU,LAIKIPIA WEST,LAIKIPIA,JP,225,226,69.82,63924,2,91550,725,110930
SHARIF ATHMAN ALI,LAMU EAST,LAMU,JP,44,45,34.13,4677,0,13704,626,18234
STANLEY MUIRURI MUTHAMA,LAMU WEST,LAMU,MCCP,122,122,31.13,11090,21,35630,1201,51542
FABIAN KYULE MULI,KANGUNDO,MACHAKOS,MUUNGANO,120,120,36.46,15327,0,42033,1096,53475
ROBERT MBUI,KATHIANI,MACHAKOS,WDM-K,113,113,91.23,40082,3,43934,518,54909
VICTOR KIOKO MUNYAKA,MACHAKOS TOWN,MACHAKOS,JP,203,213,53.38,41925,5,78539,1373,109877
JOSHUA MBITHI MWALYO,MASINGA,MACHAKOS,WDM-K,170,170,46.93,23015,1,49046,723,61989
STEPHEN  MUTINDA MULE,MATUNGULU,MACHAKOS,WDM-K,142,145,44.5,21948,0,49326,1116,66611
PATRICK MAKAU KING'OLA,MAVOKO,MACHAKOS,WDM-K,180,189,60.5,47303,5,78184,1595,118180
VINCENT MUSYOKA MUSAU,MWALA,MACHAKOS,MCCP,204,213,56.37,34318,5,60877,925,81273
CHARLES MUTAVI KILONZO,YATTA,MACHAKOS,IND,169,169,32.52,18320,5,56338,599,73940
JOSHUA KIVINDA KIMILU,KAITI,MAKUENI,WDM-K,140,144,48.84,21892,0,44824,199,57952
JESSICA NDUKU KIKO MBALU,KIBWEZI EAST,MAKUENI,WDM-K,150,151,59.83,26006,0,43463,514,57628
PATRICK MWEU MUSIMBA,KIBWEZI WEST,MAKUENI,IND,191,194,70.11,43776,1,62440,2112,80805
THUDDEUS KITHUA NZAMBIA,KILOME,MAKUENI,WDM-K,108,108,55.92,21396,1,38264,1464,50232
DANIEL KITONGA MAANZO,MAKUENI,MAKUENI,WDM-K,224,225,72.98,52083,1,71362,2175,90817
ERASTUS KIVASU NZIOKA,MBOONI,MAKUENI,ND,237,238,24.24,16558,2,68314,3037,85876
KULOW MAALIM HASSAN,BANISSA,MANDERA,EFP,48,53,64.71,9097,0,14058,700,18476
